Nodes,N_Global,NZ_Global,Total_Time_Med,Comp_Time_Med,Comm_Time_Med,Red_Time_Med,Scatt_Time_Med,Epoch_Time_Med
1,1000000,31250000,13.047989,11.856,1.184,0.001,1.338,0.000
2,1000000,62500000,14.425439,11.001,3.377,0.262,0.546,0.000
4,1000000,125000000,20.752418,12.545,8.130,3.904,0.542,0.000
8,1000000,250000000,29.400565,17.679,11.138,11.976,0.553,0.000
